"Year","EGY production Eora 199.082","EGY production GCB 2023v26","EGY consumption Eora 199.082","EGY consumption GCB 2023v26"
1990,91.080000,75.217533,93.852831,80.404861
1991,93.170000,77.295842,94.420619,76.318995
1992,96.830000,79.939884,99.313164,85.188136
1993,97.160000,92.277980,105.167193,91.864613
1994,92.900000,88.372733,100.664343,90.430080
1995,99.070000,98.994499,101.178029,99.929932
1996,106.450000,97.950855,118.392885,101.485937
1997,113.210000,111.704885,115.441775,113.067086
1998,118.950000,125.025715,121.176646,129.706268
1999,128.400000,128.221105,129.351840,134.085549
2000,126.420000,143.836043,128.350962,137.280701
2001,139.820000,127.656532,140.015866,121.097987
2002,143.590000,129.154996,142.757452,121.721324
2003,146.620000,149.919386,143.816117,137.692935
2004,158.970000,152.575693,156.782959,133.375711
2005,177.030000,168.216820,176.957747,149.496690
2006,188.370000,179.194147,189.455519,158.556357
2007,201.580000,188.805041,203.942258,172.474303
2008,202.210000,197.727721,207.111068,182.771769
2009,210.580000,206.477902,214.615015,199.055173
2010,212.300000,203.607575,215.475313,202.111424
2011,220.200000,216.917285,222.709133,213.189778
2012,234.160000,213.733512,236.592222,221.383834
2013,230.040000,211.418911,230.802265,213.633711
2014,234.610000,226.899334,230.720840,240.494447
2015,240.100000,224.479730,238.831619,247.049544
2016,246.960000,239.385584,260.699150,260.187782
2017,254.290000,260.110602,262.810043,257.008670
2018,255.802456,243.907877,258.952806,242.825601
2019,255.368568,256.140175,254.152103,253.761194
2020,262.427690,227.637955,258.060856,234.864669
2021,272.585164,246.673748,266.703331,265.254057
2022,,,,
